,timestamp,is_fix,gaze_smooth_x,gaze_smooth_y,gaze_raw_x,gaze_raw_y,lefteye_smooth_x,lefteye_smooth_y,lefteye_raw_x,lefteye_raw_y,lefteye_psize,lefteye_p_x,lefteye_p_y,righteye_smooth_x,righteye_smooth_y,righteye_raw_x,righteye_raw_y,righteye_psize,righteye_p_x,righteye_p_y
34,2023-01-17 20:22:11.858,True,1147.9921,514.0872,1186.6143,537.3611,1161.5896,523.9633,1181.4825,532.5054,34.5033,0.307,0.4883,1173.3027,513.9214,1191.7458,542.2167,33.184,0.5546,0.5029
35,2023-01-17 20:22:11.891,True,1150.6428,514.6844,1200.8245,524.67,1166.5251,524.1393,1213.8759,524.7229,34.3949,0.3094,0.4881,1175.1216,515.0284,1187.7732,524.6172,33.0708,0.5568,0.5032
36,2023-01-17 20:22:11.924,True,1153.1215,515.3787,1203.5134,532.4879,1170.1066,524.7191,1204.2651,529.9803,34.152,0.3111,0.4883,1177.9874,516.8943,1202.7618,534.9955,33.5084,0.5586,0.5039
37,2023-01-17 20:22:11.958,True,1155.4701,515.9555,1195.6768,519.8206,1171.7048,523.2573,1183.7983,504.727,34.3253,0.3125,0.4886,1180.9005,518.5419,1207.5553,534.9142,33.535,0.5602,0.5047
38,2023-01-17 20:22:11.991,True,1157.8568,516.6428,1214.9835,549.9869,1174.1462,526.0539,1197.4165,559.9768,34.7161,0.3138,0.4892,1185.4484,520.4163,1232.5505,539.997,33.3696,0.5616,0.5053
39,2023-01-17 20:22:12.025,True,1160.323,517.3491,1211.7682,549.7182,1176.3223,529.3411,1196.9443,569.8765,35.6097,0.3149,0.4891,1189.1127,521.3321,1226.592,529.5599,32.8063,0.5626,0.5052
40,2023-01-17 20:22:12.058,True,1162.7845,518.0853,1224.0452,541.1576,1179.1422,532.016,1209.0022,564.5241,35.6315,0.3157,0.4888,1193.3451,521.3112,1239.088,517.7911,33.1136,0.5635,0.505
41,2023-01-17 20:22:12.091,True,1165.2388,518.8947,1223.772,551.2777,1182.4308,534.5835,1219.2439,565.6407,35.3523,0.3166,0.4886,1196.4771,522.6063,1228.3002,536.9147,32.7714,0.5643,0.505
42,2023-01-17 20:22:12.124,True,1167.6361,519.6972,1214.2073,538.4524,1184.7137,536.3813,1207.5746,556.4683,35.1683,0.3174,0.4884,1198.8475,522.6876,1220.84,520.4365,32.5495,0.5652,0.5047
43,2023-01-17 20:22:12.157,True,1171.5808,521.4125,1327.3446,401.7054,0.0,0.0,0.0,0.0,35.6056,0.3181,0.4881,1327.3446,401.7054,1327.3446,401.7054,32.5894,0.566,0.5045
44,2023-01-17 20:22:12.191,True,1168.7113,523.9757,1125.0752,570.2324,1181.7493,539.816,1128.7533,583.7377,35.4323,0.3176,0.488,1121.3972,556.7271,1121.3972,556.7271,33.1785,0.5649,0.5049
45,2023-01-17 20:22:12.225,False,876.5001,571.6912,852.5094,579.8745,1175.3185,542.3979,1072.7919,573.1319,35.2969,0.3175,0.4877,876.5001,571.6912,632.2269,586.6172,32.8687,0.5651,0.5047
46,2023-01-17 20:22:12.257,False,949.8138,566.4768,1076.1182,565.6111,1168.0074,544.9631,1055.4865,575.1838,35.3886,0.318,0.4876,949.8138,566.4768,1096.75,556.0384,33.055,0.5655,0.5045
47,2023-01-17 20:22:12.290,False,969.9094,562.0333,1083.7759,543.2602,1161.0948,546.1732,1058.4873,555.2275,34.9002,0.3183,0.4873,989.9538,557.6012,1109.0645,531.2929,33.2033,0.5659,0.5043
48,2023-01-17 20:22:12.324,False,999.9727,559.8417,1081.4698,557.6367,1155.6461,546.662,1079.4839,544.8176,34.554,0.3187,0.487,1009.1636,560.1566,1083.4558,570.4557,33.123,0.5661,0.5044
49,2023-01-17 20:22:12.357,False,1037.7393,557.1252,1074.9333,572.0294,1149.1483,549.127,1052.7493,565.3436,34.9335,0.3188,0.4868,1097.1176,578.7151,1097.1176,578.7151,33.7698,0.5663,0.5041
50,2023-01-17 20:22:12.391,False,1046.8759,561.5325,1075.7944,585.635,1143.4775,552.7535,1070.5256,592.3056,34.9943,0.319,0.4865,1081.0634,578.9644,1081.0634,578.9644,34.6218,0.5665,0.5036
51,2023-01-17 20:22:12.424,True,1061.788,561.1207,1154.4819,561.4032,1143.2162,554.3556,1155.6287,570.9164,35.1035,0.3204,0.4858,1117.2455,565.4099,1153.3353,551.8899,34.3369,0.5676,0.5032
52,2023-01-17 20:22:12.458,False,1148.4771,553.9259,1216.7595,536.9018,1146.4762,554.769,1213.6047,546.6573,35.3495,0.3221,0.4851,1151.6753,552.5782,1219.9143,527.1463,34.1423,0.5692,0.5026
53,2023-01-17 20:22:12.491,False,1167.1061,546.0642,1026.2573,551.2512,840.3622,575.4885,840.3622,575.4885,35.3014,0.323,0.4843,1167.1061,546.0642,1212.1526,527.014,34.4277,0.57,0.5021
54,2023-01-17 20:22:12.524,False,1182.1586,548.6942,1222.8911,542.0925,1211.3149,559.86,1211.3149,559.86,35.3705,0.3241,0.4833,1181.0168,541.5585,1234.4672,524.3251,34.7119,0.5713,0.5015
55,2023-01-17 20:22:12.557,False,1187.6575,549.3195,1222.058,555.1557,1209.8512,563.0941,1208.3914,566.3201,35.4819,0.3255,0.4823,1190.6544,541.8611,1235.7246,543.9913,35.3059,0.5726,0.5007
56,2023-01-17 20:22:12.591,False,1191.4294,548.718,1220.3115,530.0759,1208.8314,559.9521,1206.812,553.6914,35.0448,0.3271,0.4813,1197.3837,536.5455,1233.8109,506.4604,34.3044,0.5741,0.4997
57,2023-01-17 20:22:12.623,False,1193.4349,547.5195,1200.9429,540.5803,1207.4684,557.1591,1203.4498,548.9105,34.9042,0.329,0.4809,1197.9141,535.8386,1198.4358,532.2502,34.9487,0.576,0.4996
58,2023-01-17 20:22:12.657,True,1195.6461,547.3912,1228.8207,544.1616,1207.4026,556.2676,1207.2072,552.8828,34.8442,0.3314,0.4804,1204.4329,535.6555,1250.4342,535.4404,35.1737,0.5788,0.4997
59,2023-01-17 20:22:12.691,True,1197.8729,546.7066,1238.4968,549.3265,1209.0573,555.3685,1217.1689,551.1513,34.9912,0.334,0.4802,1210.7883,536.8058,1259.8248,547.5018,32.4543,0.5815,0.5002
60,2023-01-17 20:22:12.724,True,1202.0068,546.3573,1316.9656,671.5002,1306.8092,694.9392,1306.8092,694.9392,34.6235,0.3381,0.4819,1327.1218,648.0613,1327.1218,648.0613,32.2298,0.5851,0.5024
61,2023-01-17 20:22:12.758,False,1406.5754,717.6316,1406.5754,717.6316,1436.1554,732.2385,1436.1554,732.2385,34.0607,0.3427,0.4828,1376.9955,703.0247,1376.9955,703.0247,33.3432,0.5891,0.5039
62,2023-01-17 20:22:12.791,False,1402.3562,727.8832,1398.1477,738.1089,1422.4758,745.5434,1408.8312,758.8144,34.0045,0.3452,0.4827,1382.2366,710.2232,1387.4642,717.4034,33.8545,0.5921,0.5043
63,2023-01-17 20:22:12.824,False,1400.6344,725.2844,1395.1167,715.3726,1415.4523,739.424,1401.5635,727.1956,33.6258,0.3476,0.4821,1384.399,708.0015,1388.6698,703.5496,34.1158,0.5944,0.5043
64,2023-01-17 20:22:12.857,False,1400.0583,726.2775,1397.5769,744.6897,1410.2488,749.293,1394.9965,778.5768,34.0348,0.3495,0.4821,1388.3888,708.7086,1400.1575,710.8027,34.0682,0.5965,0.5044
65,2023-01-17 20:22:12.890,False,1400.4299,727.1906,1403.1985,720.3148,1410.1517,745.4094,1410.0967,729.8987,33.7132,0.3512,0.4818,1390.0311,709.124,1396.3004,710.731,34.2508,0.5983,0.5047
66,2023-01-17 20:22:12.924,False,1399.3499,728.7435,966.5613,781.7256,1010.6825,793.3215,1010.6825,793.3215,33.8674,0.3528,0.4825,922.4401,770.1298,922.4401,770.1298,34.3064,0.5997,0.5056
67,2023-01-17 20:22:12.957,False,1413.1915,707.1913,1413.1915,707.1913,1407.8029,741.0715,1407.8029,741.0715,33.2117,0.354,0.4831,1418.5802,673.3111,1418.5802,673.3111,34.5675,0.6012,0.5065
